rest_id,rest_name,Cate,open_time,close_time,lowest_price,hightest_price,avg_score,quality_score,price_score,service_score,space_score,location_score,rest_address,rest_link
253,Ốc Diệu,An Vat Via He,12:30,21:00,30.000,60.000,6.7,7.8,7.4,7.2,5.8,5.4,"26/50/52 Đỗ Quang Đẩu, Quận 1, TP. HCM",/ho-chi-minh/oc-dieu
1151,Bánh Mì PewPew - Út Tịch,An Vat Via He,06:00,23:00,20.000,30.000,6.7,6.7,6.5,6.7,6.7,6.7,"66 Út Tịch, P. 4, Quận Tân Bình, TP. HCM",/ho-chi-minh/banh-mi-pew-pew
1008,Baoz Dimsum Restaurant - Nguyễn Tri Phương,Nha Hang,06:30,22:45,50.000,200.000,7.0,7.3,7.0,6.5,7.3,7.0,"88 Nguyễn Tri Phương, P. 7, Quận 5, TP. HCM",/ho-chi-minh/baoz-dimsum-resraurant
874,Bánh Mì PewPew - Đường D5,An Vat Via He,06:00,21:30,20.000,30.000,,6.0,5.7,5.9,6.0,6.2,"84 Đường D5, P. 25, Quận Bình Thạnh, TP. HCM",/ho-chi-minh/banh-mi-pewpew-duong-d5
743,Baoz Dimsum Restaurant - The Garden Mall,Nha Hang,09:00,23:00,50.000,200.000,6.7,6.9,6.7,6.1,6.7,7.1,"Tầng Trệt,  Tầng Trệt The Garden Mall, 190 Hồng Bàng, P. 12, Quận 5, TP. HCM",/ho-chi-minh/baoz-dimsum-restaurant-the-garden-mall
289,A Tùng - Bánh Mì Bò Nướng Bơ Cambodia - Cống Quỳnh,An Vat Via He,14:00,21:00,5.000,15.000,7.4,7.8,7.8,7.5,6.7,7.1,"171 Cống Quỳnh, Quận 1, TP. HCM",/ho-chi-minh/a-tung-banh-mi-bo-nuong-bo-cambodia-cong-quynh
110,Baoz Dimsum Restaurant - Lê Đại Hành,Nha Hang,07:00,21:00,50.000,200.000,_._,--,--,--,--,--,"299 Lê Đại Hành, P. 13, Quận 11, TP. HCM",/ho-chi-minh/baoz-dimsum-restaurant-le-dai-hanh
973,Buzza Pizza - Nguyễn Thị Thập,Nha Hang,10:00,21:00,49.000,159.000,8.0,8.1,7.8,8.0,8.0,8.1,"Tầng 1,  Tầng 1, 51 - 53 Nguyễn Thị Thập, P. Tân Hưng, Quận 7, TP. HCM",/ho-chi-minh/buzza-pizza-nguyen-thi-thap
9,A Tùng - Bánh Mì Bò Nướng Bơ Cambodia - Lê Hồng Phong,An Vat Via He,09:00,22:30,5.000,15.000,6.3,6.5,6.5,6.2,5.9,6.2,"837 Lê Hồng Phong, P. 12, Quận 10, TP. HCM",/ho-chi-minh/a-tung-banh-mi-bo-nuong-bo-cambodia-le-hong-phong
827,San Fu Lou - Ẩm Thực Quảng Đông - Lê Lai,Nha Hang,07:00,03:00,30.000,190.000,7.8,7.9,6.9,7.8,8.2,8.3,"Tầng Trệt, AB Tower, 76A Lê Lai, P. Bến Thành, Quận 1, TP. HCM",/ho-chi-minh/nha-hang-san-fu-lou
827,San Fu Lou - Ẩm Thực Quảng Đông - Lê Lai,Sang Trong,07:00,03:00,30.000,190.000,7.8,7.9,6.9,7.8,8.2,8.3,"Tầng Trệt, AB Tower, 76A Lê Lai, P. Bến Thành, Quận 1, TP. HCM",/ho-chi-minh/nha-hang-san-fu-lou
672,Buzza Pizza - Nowzone,Nha Hang,10:30,21:00,49.000,159.000,7.2,7.2,7.0,7.0,7.5,7.3,"Tầng 4,  Tầng 4 Nowzone, 235 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",/ho-chi-minh/buzza-pizza-nowzone
613,Tàu Hủ Xe Lam - Phùng Văn Cung,An Vat Via He,12:00,23:00,17.000,25.000,6.9,7.3,7.3,7.0,6.4,6.7,"70 Phùng Văn Cung, P. 7, Quận Phú Nhuận, TP. HCM",/ho-chi-minh/tau-hu-xe-lam
550,San Fu Lou - Ẩm Thực Quảng Đông - Phan Xích Long,Nha Hang,07:00,21:30,30.000,190.000,7.4,7.5,6.5,7.4,7.9,7.9,"195 - 197 Phan Xích Long, P. 2, Quận Phú Nhuận, TP. HCM",/ho-chi-minh/san-fu-lou-cantonese-kitchen-phan-xich-long
550,San Fu Lou - Ẩm Thực Quảng Đông - Phan Xích Long,Sang Trong,07:00,21:30,30.000,190.000,7.4,7.5,6.5,7.4,7.9,7.9,"195 - 197 Phan Xích Long, P. 2, Quận Phú Nhuận, TP. HCM",/ho-chi-minh/san-fu-lou-cantonese-kitchen-phan-xich-long
