,food_id,rest_id,food_name,food_price
0,509,832,Tôm Viên Hạnh Nhân,68000.0
1,284,832,Bánh Cuốn X.O Sò Điệp Khô,86000.0
2,1219,832,Tổ Chim Chiên Xù,60000.0
3,1411,832,Bánh Nướng Phô Mai,48000.0
4,1574,832,Há Cảo Hải Sản Dát Vàng,99000.0
5,914,832,Bông Cải Sốt Dầu Hào,98000.0
6,1294,832,Nấm Rang Kiểu Hồng Kông,118000.0
7,1510,832,Bông Cải Sò Điệp Sốt Thịt Cua,228000.0
8,1901,832,Xíu Mại Gạch Cua,60000.0
9,1578,832,Há Cảo Thuỷ Tinh,60000.0
10,729,223,Bánh Mì Chấm Cà Phê Sữa,30000.0
11,82,223,Bánh Mì Que Truyền Thống,15000.0
12,650,223,Bánh Mì Que Cá Ngừ Sốt Cay,25000.0
13,647,223,Bánh Mì Que Pate Bơ,17000.0
14,727,223,Bánh Mì Bò Tiêu Đen,35000.0
15,1498,223,Bánh Mì Thập Cẩm,35000.0
16,1519,223,Bánh Mì Gà Nướng Mật Ong,35000.0
17,1440,223,Bánh Mì Truyền thống,25000.0
18,527,223,Bánh Mì Heo Quay,35000.0
19,804,223,Bánh Mì Trứng,25000.0
20,193,1160,BÁNH MÌ CHẤM CÀ PHÊ SỮA,30000.0
21,82,1160,Bánh Mì Que Truyền Thống,15000.0
22,647,1160,Bánh Mì Que Pate Bơ,17000.0
23,650,1160,Bánh Mì Que Cá Ngừ Sốt Cay,25000.0
24,1498,1160,Bánh Mì Thập Cẩm,35000.0
25,1519,1160,Bánh Mì Gà Nướng Mật Ong,35000.0
26,727,1160,Bánh Mì Bò Tiêu Đen,35000.0
27,1525,1160,Bánh Mì Truyền Thống,25000.0
28,527,1160,Bánh Mì Heo Quay,35000.0
29,804,1160,Bánh Mì Trứng,25000.0
30,1643,627,Há Cảo Sò Điệp,62000.0
31,1901,627,Xíu Mại Gạch Cua,60000.0
32,1578,627,Há Cảo Thuỷ Tinh,60000.0
33,130,627,Chân Gà Hấp Tàu Xì,60000.0
34,874,627,Cơm Chiên Hải Sản Sò Điệp,128000.0
35,860,627,Tàu Hủ Ki Tôm Chiên,60000.0
36,1560,627,Bánh Bao Kim Sa,60000.0
37,81,627,Bánh Bao Xá Xíu Nướng,60000.0
38,617,627,Bánh Xếp Tôm Chiên,60000.0
39,139,627,Xôi Gà Trân Châu Trứng Muối,60000.0
40,1126,127,COMBO 2,494640.0
41,1461,127,COMBO 1,430920.0
42,412,127,CHICKEN BBQ PIZZA,204120.0
43,701,127,Seafoof Platter,430920.0
44,1546,127,1 QUATTRO FORMAGGI PIZZA,204120.0
45,449,127,Hawaiian Pizza 0Đ,204120.0
46,1577,127,Green salad,74520.0
47,136,127,Chicken salad,106920.0
48,572,127,Beef salad,171720.0
49,1755,127,Buzza salad,128520.0
50,509,992,Tôm Viên Hạnh Nhân,68000.0
51,284,992,Bánh Cuốn X.O Sò Điệp Khô,86000.0
52,1219,992,Tổ Chim Chiên Xù,60000.0
53,1574,992,Há Cảo Hải Sản Dát Vàng,99000.0
54,1411,992,Bánh Nướng Phô Mai,48000.0
55,914,992,Bông Cải Sốt Dầu Hào,98000.0
56,1294,992,Nấm Rang Kiểu Hồng Kông,118000.0
57,1510,992,Bông Cải Sò Điệp Sốt Thịt Cua,228000.0
58,1578,992,Há Cảo Thuỷ Tinh,60000.0
59,1643,992,Há Cảo Sò Điệp,62000.0
60,1377,215,Thịt bò nướng,14000.0
61,1020,215,Bánh mì bơ,8000.0
62,848,215,Thịt Heo Nướng,14000.0
63,847,215,Bánh Mì Bơ Patê,13000.0
64,264,215,1 Phần Đu Đủ,10000.0
65,896,215,1 Phần Bơ A Tùng,15000.0
66,1365,215,Bánh Mì Không,4500.0
67,1126,829,COMBO 2,494640.0
68,1461,829,COMBO 1,430920.0
69,412,829,CHICKEN BBQ PIZZA,204120.0
70,701,829,Seafoof Platter,430920.0
71,1546,829,1 QUATTRO FORMAGGI PIZZA,204120.0
72,449,829,Hawaiian Pizza 0Đ,204120.0
73,1577,829,Green salad,74520.0
74,136,829,Chicken salad,106920.0
75,1755,829,Buzza salad,128520.0
76,572,829,Beef salad,171720.0
77,23,419,Pepsi lẻ,15000.0
78,23,419,Pepsi lẻ,15000.0
79,1377,419,Thịt bò nướng,14000.0
80,1020,419,Bánh mì bơ,8000.0
81,203,419,Thịt Heo Nướng Xiên,14000.0
82,1232,419,Bánh Mì Bơ Pate,13000.0
83,1375,419,1phần đồ chua đu đủ 2g,10000.0
84,1365,419,Bánh Mì Không,4000.0
85,390,419,BOKLOHONG Gỏi Ba Khía,42000.0
86,1291,419,Bơ A Tùng /1hủ,15000.0
87,551,815,Hoành thánh chiên giòn với giấm chua ngọt,95040.0
88,551,815,Hoành thánh chiên giòn với giấm chua ngọt,95040.0
89,551,815,Hoành thánh chiên giòn với giấm chua ngọt,95040.0
90,551,815,Hoành thánh chiên giòn với giấm chua ngọt,95040.0
91,1530,815,Tai heo sốt trứ danh San Fu Lou,95040.0
92,1530,815,Tai heo sốt trứ danh San Fu Lou,95040.0
93,1530,815,Tai heo sốt trứ danh San Fu Lou,95040.0
94,1530,815,Tai heo sốt trứ danh San Fu Lou,95040.0
95,1107,815,Đậu hũ hoàng kim,95040.0
96,1107,815,Đậu hũ hoàng kim,95040.0
97,1107,815,Đậu hũ hoàng kim,95040.0
98,1107,815,Đậu hũ hoàng kim,95040.0
99,1753,815,Súp hải sản chua cay,95040.0
100,1753,815,Súp hải sản chua cay,95040.0
101,1753,815,Súp hải sản chua cay,95040.0
102,1753,815,Súp hải sản chua cay,95040.0
103,1109,815,"Gà tiềm trúc xanh, nấm đông cô",105840.0
104,1109,815,"Gà tiềm trúc xanh, nấm đông cô",105840.0
105,1109,815,"Gà tiềm trúc xanh, nấm đông cô",105840.0
106,1109,815,"Gà tiềm trúc xanh, nấm đông cô",105840.0
107,1531,815,Xá xíu San Fu Lou,181440.0
108,1531,815,Xá xíu San Fu Lou,181440.0
109,1531,815,Xá xíu San Fu Lou,181440.0
110,1531,815,Xá xíu San Fu Lou,181440.0
111,39,815,Há cảo tôm bó xôi 6 pcs,138240.0
112,39,815,Há cảo tôm bó xôi 6 pcs,138240.0
113,39,815,Há cảo tôm bó xôi 6 pcs,138240.0
114,39,815,Há cảo tôm bó xôi 6 pcs,138240.0
115,19,815,Há cảo thịt vịt gói kiểu trái lựu 6 pcs,138240.0
116,19,815,Há cảo thịt vịt gói kiểu trái lựu 6 pcs,138240.0
117,19,815,Há cảo thịt vịt gói kiểu trái lựu 6 pcs,138240.0
118,19,815,Há cảo thịt vịt gói kiểu trái lựu 6 pcs,138240.0
119,257,815,Bánh bao phong sa,73440.0
120,257,815,Bánh bao phong sa,73440.0
121,257,815,Bánh bao phong sa,73440.0
122,257,815,Bánh bao phong sa,73440.0
123,1873,815,Bánh bao xá xíu,62640.0
124,1873,815,Bánh bao xá xíu,62640.0
125,1873,815,Bánh bao xá xíu,62640.0
126,1873,815,Bánh bao xá xíu,62640.0
127,1449,183,Cháo ếch (nhỏ),105840.0
128,1108,183,Cháo ếch (lớn),213840.0
129,1007,183,Cháo ếch (vừa),181440.0
130,931,183,Cháo trắng thêm,32400.0
131,1718,183,Đậu bắp rang muối ớt,74520.0
132,1285,183,Nấm kim châm rang muối ớt,85320.0
133,890,183,Rau nấm thập cẩm rang muối ớt,106920.0
134,799,183,Nấm bào ngư rang muối ớt,85320.0
135,534,183,Cà tím rang muối ớt,74520.0
136,8,183,Nấm tay cầm,106920.0
137,958,1176,Tàu hủ tả pí lù,32000.0
138,1792,1176,Tàu hủ truyền thống,17000.0
139,628,1176,Tàu hủ thập cẩm,25000.0
140,1551,1176,Tàu hủ bánh flan,27000.0
141,501,1176,Tàu hủ thập cẩm mít,27000.0
142,1169,1176,Tàu hủ ngũ sắc mít,25000.0
143,242,1176,Tàu hủ phô mai,27000.0
144,1290,1176,Tàu hũ ngũ sắc,22000.0
145,1483,1176,TÀU DƯỠNG NHÃN,37000.0
146,1766,1176,Tàu Hủ Xôi dừa,30000.0
147,551,353,Hoành thánh chiên giòn với giấm chua ngọt,95040.0
148,551,353,Hoành thánh chiên giòn với giấm chua ngọt,95040.0
149,551,353,Hoành thánh chiên giòn với giấm chua ngọt,95040.0
150,551,353,Hoành thánh chiên giòn với giấm chua ngọt,95040.0
151,1107,353,Đậu hũ hoàng kim,95040.0
152,1107,353,Đậu hũ hoàng kim,95040.0
