rest_name,rest_address,time_open,price,avg_score,quality_score,price_score,service_score,space_score,location_score,link
Ốc Diệu,"26/50/52 Đỗ Quang Đẩu, Quận 1, TP. HCM",12:30 - 21:00,30.000 - 60.000,6.7,7.8,7.4,7.2,5.8,5.4,https://www.foody.vn/ho-chi-minh/oc-dieu
Bánh Mì PewPew - Út Tịch,"66 Út Tịch, P. 4, Quận Tân Bình, TP. HCM",06:00 - 23:00,20.000 - 30.000,6.7,6.7,6.5,6.7,6.7,6.7,https://www.foody.vn/ho-chi-minh/banh-mi-pew-pew
Bánh Mì PewPew - Đường D5,"84 Đường D5, P. 25, Quận Bình Thạnh, TP. HCM",06:00 - 21:30,20.000 - 30.000,,6.0,5.7,5.9,6.0,6.2,https://www.foody.vn/ho-chi-minh/banh-mi-pewpew-duong-d5
Đà Lạt Phố Cafe - Huỳnh Mẫn Đạt,"153 Huỳnh Mẫn Đạt, P. 8, Quận 5, TP. HCM",09:00 - 22:00,20.000 - 80.000,7.1,6.6,6.1,7.3,8.1,7.7,https://www.foody.vn/ho-chi-minh/da-lat-pho-cafe-huynh-man-dat
A Tùng - Bánh Mì Bò Nướng Bơ Cambodia - Cống Quỳnh,"171 Cống Quỳnh, Quận 1, TP. HCM",14:00 - 21:00,5.000 - 15.000,7.4,7.8,7.8,7.5,6.7,7.1,https://www.foody.vn/ho-chi-minh/a-tung-banh-mi-bo-nuong-bo-cambodia-cong-quynh
Đà Lạt Phố Cafe - Ung Văn Khiêm,"55 Ung Văn Khiêm, P. 25, Quận Bình Thạnh, TP. HCM",06:00 - 22:30,30.000 - 60.000,6.2,5.2,6.0,5.9,7.2,6.8,https://www.foody.vn/ho-chi-minh/da-lat-pho-cafe-ung-van-khiem
A Tùng - Bánh Mì Bò Nướng Bơ Cambodia - Lê Hồng Phong,"837 Lê Hồng Phong, P. 12, Quận 10, TP. HCM",09:00 - 22:30,5.000 - 15.000,6.3,6.5,6.5,6.2,5.9,6.2,https://www.foody.vn/ho-chi-minh/a-tung-banh-mi-bo-nuong-bo-cambodia-le-hong-phong
Tàu Hủ Xe Lam - Phùng Văn Cung,"70 Phùng Văn Cung, P. 7, Quận Phú Nhuận, TP. HCM",12:00 - 23:00,17.000 - 25.000,6.9,7.3,7.3,7.0,6.4,6.7,https://www.foody.vn/ho-chi-minh/tau-hu-xe-lam
Đà Lạt Phố Cafe - Âu Cơ,"550 Âu Cơ, P. 10, Quận Tân Bình, TP. HCM",07:00 - 22:30,20.000 - 50.000,6.0,5.7,6.2,4.6,6.5,7.1,https://www.foody.vn/ho-chi-minh/da-lat-pho-cafe-au-co
Tàu Hủ Xe Lam - Bửu Long,"B1B Bửu Long, P.15, Quận 10, TP. HCM",11:00 - 20:30,10.000 - 25.000,6.8,6.7,7.0,6.6,6.7,7.2,https://www.foody.vn/ho-chi-minh/tau-hu-xe-lam-buu-long
