name_food,price_food,link_rest
Set 2: Súp miso + xà lách,17.280,https://www.foody.vn/ha-noi/tokyo-deli-hoang-dao-thuy
TDE8 Tô cơm lườn cá hồi nướng sốt kabayaki,97.200,https://www.foody.vn/ha-noi/tokyo-deli-hoang-dao-thuy
TDE9 Tô cơm lươn,108.000,https://www.foody.vn/ha-noi/tokyo-deli-hoang-dao-thuy
TDE4 Tô cơm thịt gà sốt teriyaki,73.440,https://www.foody.vn/ha-noi/tokyo-deli-hoang-dao-thuy
TDE13 Bento sushi,115.560,https://www.foody.vn/ha-noi/tokyo-deli-hoang-dao-thuy
TDE3 Tô cơm thịt heo chiên xù,66.960,https://www.foody.vn/ha-noi/tokyo-deli-hoang-dao-thuy
TDE1 Tô cơm cá hồi,66.960,https://www.foody.vn/ha-noi/tokyo-deli-hoang-dao-thuy
TDE-Bento cơm thịt bò,93.960,https://www.foody.vn/ha-noi/tokyo-deli-hoang-dao-thuy
TDE14 Bento thịt gà chiên và sốt chua ngọt,81.000,https://www.foody.vn/ha-noi/tokyo-deli-hoang-dao-thuy
TDE12 Tô cơm thịt heo xào kim chi,65.880,https://www.foody.vn/ha-noi/tokyo-deli-hoang-dao-thuy
Bánh Mì Chấm Cà Phê Sữa,30.000,https://www.foody.vn/ho-chi-minh/banh-mi-pew-pew
Bánh Mì Que Truyền Thống,15.000,https://www.foody.vn/ho-chi-minh/banh-mi-pew-pew
Bánh Mì Que Cá Ngừ Sốt Cay,25.000,https://www.foody.vn/ho-chi-minh/banh-mi-pew-pew
Bánh Mì Que Pate Bơ,17.000,https://www.foody.vn/ho-chi-minh/banh-mi-pew-pew
Bánh Mì Bò Tiêu Đen,35.000,https://www.foody.vn/ho-chi-minh/banh-mi-pew-pew
Bánh Mì Thập Cẩm,35.000,https://www.foody.vn/ho-chi-minh/banh-mi-pew-pew
Bánh Mì Gà Nướng Mật Ong,35.000,https://www.foody.vn/ho-chi-minh/banh-mi-pew-pew
Bánh Mì Truyền thống,25.000,https://www.foody.vn/ho-chi-minh/banh-mi-pew-pew
Bánh Mì Heo Quay,35.000,https://www.foody.vn/ho-chi-minh/banh-mi-pew-pew
Bánh Mì Trứng,25.000,https://www.foody.vn/ho-chi-minh/banh-mi-pew-pew
BÁNH MÌ CHẤM CÀ PHÊ SỮA,30.000,https://www.foody.vn/ho-chi-minh/banh-mi-pewpew-duong-d5
Bánh Mì Que Truyền Thống,15.000,https://www.foody.vn/ho-chi-minh/banh-mi-pewpew-duong-d5
Bánh Mì Que Pate Bơ,17.000,https://www.foody.vn/ho-chi-minh/banh-mi-pewpew-duong-d5
Bánh Mì Que Cá Ngừ Sốt Cay,25.000,https://www.foody.vn/ho-chi-minh/banh-mi-pewpew-duong-d5
Bánh Mì Thập Cẩm,35.000,https://www.foody.vn/ho-chi-minh/banh-mi-pewpew-duong-d5
Set 2: Súp miso + xà lách,17.280,https://www.foody.vn/ha-noi/tokyo-deli-times-city
Bánh Mì Gà Nướng Mật Ong,35.000,https://www.foody.vn/ho-chi-minh/banh-mi-pewpew-duong-d5
TDE8 Tô cơm lườn cá hồi nướng sốt kabayaki,97.200,https://www.foody.vn/ha-noi/tokyo-deli-times-city
Bánh Mì Bò Tiêu Đen,35.000,https://www.foody.vn/ho-chi-minh/banh-mi-pewpew-duong-d5
TDE9 Tô cơm lươn,108.000,https://www.foody.vn/ha-noi/tokyo-deli-times-city
Bánh Mì Truyền Thống,25.000,https://www.foody.vn/ho-chi-minh/banh-mi-pewpew-duong-d5
TDE13 Bento sushi,115.560,https://www.foody.vn/ha-noi/tokyo-deli-times-city
Bánh Mì Heo Quay,35.000,https://www.foody.vn/ho-chi-minh/banh-mi-pewpew-duong-d5
TDE4 Tô cơm thịt gà sốt teriyaki,73.440,https://www.foody.vn/ha-noi/tokyo-deli-times-city
Bánh Mì Trứng,25.000,https://www.foody.vn/ho-chi-minh/banh-mi-pewpew-duong-d5
TDE1 Tô cơm cá hồi,66.960,https://www.foody.vn/ha-noi/tokyo-deli-times-city
TDE-Bento cơm thịt bò,93.960,https://www.foody.vn/ha-noi/tokyo-deli-times-city
TDE14 Bento thịt gà chiên và sốt chua ngọt,81.000,https://www.foody.vn/ha-noi/tokyo-deli-times-city
TDE12 Tô cơm thịt heo xào kim chi,65.880,https://www.foody.vn/ha-noi/tokyo-deli-times-city
TDE6 Tô cơm thịt bò xào,86.400,https://www.foody.vn/ha-noi/tokyo-deli-times-city
Cafe sữa,22.000,https://www.foody.vn/ho-chi-minh/king-tea
Bạc xỉu,22.000,https://www.foody.vn/ho-chi-minh/king-tea
Cafe đen,16.000,https://www.foody.vn/ho-chi-minh/king-tea
Cappuccino,32.000,https://www.foody.vn/ho-chi-minh/king-tea
Latte,32.000,https://www.foody.vn/ho-chi-minh/king-tea
Americano,32.000,https://www.foody.vn/ho-chi-minh/king-tea
Espresso,28.000,https://www.foody.vn/ho-chi-minh/king-tea
Trà sen,32.000,https://www.foody.vn/ho-chi-minh/king-tea
Trà Ôlong nhài,32.000,https://www.foody.vn/ho-chi-minh/king-tea
Trà mật ong,32.000,https://www.foody.vn/ho-chi-minh/king-tea
Thịt bò nướng,14.000,https://www.foody.vn/ho-chi-minh/a-tung-banh-mi-bo-nuong-bo-cambodia-cong-quynh
Bánh mì bơ,8.000,https://www.foody.vn/ho-chi-minh/a-tung-banh-mi-bo-nuong-bo-cambodia-cong-quynh
Thịt Heo Nướng,14.000,https://www.foody.vn/ho-chi-minh/a-tung-banh-mi-bo-nuong-bo-cambodia-cong-quynh
1 Phần Đu Đủ,10.000,https://www.foody.vn/ho-chi-minh/a-tung-banh-mi-bo-nuong-bo-cambodia-cong-quynh
1 Phần Bơ A Tùng,15.000,https://www.foody.vn/ho-chi-minh/a-tung-banh-mi-bo-nuong-bo-cambodia-cong-quynh
Bánh Mì Không,4.500,https://www.foody.vn/ho-chi-minh/a-tung-banh-mi-bo-nuong-bo-cambodia-cong-quynh
Cafe sữa,24.000,https://www.foody.vn/ho-chi-minh/king-coffee-tea-ho-tung-mau
Cafe đen,16.000,https://www.foody.vn/ho-chi-minh/king-coffee-tea-ho-tung-mau
Bạc xỉu,24.000,https://www.foody.vn/ho-chi-minh/king-coffee-tea-ho-tung-mau
Cappuccino,32.000,https://www.foody.vn/ho-chi-minh/king-coffee-tea-ho-tung-mau
Pepsi lẻ,15.000,https://www.foody.vn/ho-chi-minh/a-tung-banh-mi-bo-nuong-bo-cambodia-le-hong-phong
Americano,32.000,https://www.foody.vn/ho-chi-minh/king-coffee-tea-ho-tung-mau
Pepsi lẻ,15.000,https://www.foody.vn/ho-chi-minh/a-tung-banh-mi-bo-nuong-bo-cambodia-le-hong-phong
Thịt bò nướng,14.000,https://www.foody.vn/ho-chi-minh/a-tung-banh-mi-bo-nuong-bo-cambodia-le-hong-phong
Latte,32.000,https://www.foody.vn/ho-chi-minh/king-coffee-tea-ho-tung-mau
Espresso,28.000,https://www.foody.vn/ho-chi-minh/king-coffee-tea-ho-tung-mau
Bánh mì bơ,8.000,https://www.foody.vn/ho-chi-minh/a-tung-banh-mi-bo-nuong-bo-cambodia-le-hong-phong
Trà sen,32.000,https://www.foody.vn/ho-chi-minh/king-coffee-tea-ho-tung-mau
