name_food,price_food,link_rest
Tôm Viên Hạnh Nhân,68000.0,https://www.foody.vn/ho-chi-minh/baoz-dimsum-resraurant
Bánh Cuốn X.O Sò Điệp Khô,86000.0,https://www.foody.vn/ho-chi-minh/baoz-dimsum-resraurant
Tổ Chim Chiên Xù,60000.0,https://www.foody.vn/ho-chi-minh/baoz-dimsum-resraurant
Bánh Mì Chấm Cà Phê Sữa,30000.0,https://www.foody.vn/ho-chi-minh/banh-mi-pew-pew
Bánh Nướng Phô Mai,48000.0,https://www.foody.vn/ho-chi-minh/baoz-dimsum-resraurant
Bánh Mì Que Truyền Thống,15000.0,https://www.foody.vn/ho-chi-minh/banh-mi-pew-pew
Há Cảo Hải Sản Dát Vàng,99000.0,https://www.foody.vn/ho-chi-minh/baoz-dimsum-resraurant
Bánh Mì Que Cá Ngừ Sốt Cay,25000.0,https://www.foody.vn/ho-chi-minh/banh-mi-pew-pew
Bông Cải Sốt Dầu Hào,98000.0,https://www.foody.vn/ho-chi-minh/baoz-dimsum-resraurant
Bánh Mì Que Pate Bơ,17000.0,https://www.foody.vn/ho-chi-minh/banh-mi-pew-pew
Nấm Rang Kiểu Hồng Kông,118000.0,https://www.foody.vn/ho-chi-minh/baoz-dimsum-resraurant
Bánh Mì Bò Tiêu Đen,35000.0,https://www.foody.vn/ho-chi-minh/banh-mi-pew-pew
Bông Cải Sò Điệp Sốt Thịt Cua,228000.0,https://www.foody.vn/ho-chi-minh/baoz-dimsum-resraurant
Bánh Mì Thập Cẩm,35000.0,https://www.foody.vn/ho-chi-minh/banh-mi-pew-pew
Xíu Mại Gạch Cua,60000.0,https://www.foody.vn/ho-chi-minh/baoz-dimsum-resraurant
Há Cảo Thuỷ Tinh,60000.0,https://www.foody.vn/ho-chi-minh/baoz-dimsum-resraurant
Bánh Mì Gà Nướng Mật Ong,35000.0,https://www.foody.vn/ho-chi-minh/banh-mi-pew-pew
Bánh Mì Truyền thống,25000.0,https://www.foody.vn/ho-chi-minh/banh-mi-pew-pew
Bánh Mì Heo Quay,35000.0,https://www.foody.vn/ho-chi-minh/banh-mi-pew-pew
